Id,target_chr,target_start,target_end,grna_target_chr,grna_target_start,grna_target_end,cleavage_freq,location
38,10,92763726,92763748,11,5248198,5248220,7.50E-05,92763737
39,11,3125332,3125350,11,5248198,5248220,0,3125341
40,11,30888493,30888510,11,5248198,5248220,0,30888501.5
41,11,59611415,59611437,11,5248198,5248220,0,59611426
42,,0,0,11,5248198,5248220,0.004376,0
43,11,80116129,80116151,11,5248198,5248220,0.000147,80116140
44,11,125807918,125807936,11,5248198,5248220,0.001533,125807927
45,12,27234749,27234771,11,5248198,5248220,0,27234760
46,12,40327463,40327485,11,5248198,5248220,0.000123,40327474
47,12,54421212,54421234,11,5248198,5248220,0.000264,54421223
48,12,93549185,93549207,11,5248198,5248220,0.001644,93549196
49,12,124803828,124803850,11,5248198,5248220,0.043574,124803839
50,13,44886370,44886392,11,5248198,5248220,0.000202,44886381
51,14,36889532,36889554,11,5248198,5248220,6.00E-05,36889543
52,14,49319035,49319055,11,5248198,5248220,0.000138,49319045
53,14,59445884,59445906,11,5248198,5248220,0,59445895
54,14,94585321,94585343,11,5248198,5248220,0.000145,94585332
55,15,29983542,29983563,11,5248198,5248220,0.000289,29983552.5
56,15,46598112,46598134,11,5248198,5248220,0,46598123
57,15,88488815,88488837,11,5248198,5248220,0,88488826
58,15,99709331,99709353,11,5248198,5248220,0.000995,99709342
59,16,49082898,49082920,11,5248198,5248220,8.50E-05,49082909
60,17,8370236,8370255,11,5248198,5248220,0.000399,8370245.5
61,18,745977,745999,11,5248198,5248220,0.000106,745988
62,18,6663827,6663849,11,5248198,5248220,0,6663838
63,18,42330284,42330306,11,5248198,5248220,0.000278,42330295
64,19,8560457,8560479,11,5248198,5248220,8.10E-05,8560468
65,19,29880761,29880783,11,5248198,5248220,0,29880772
66,19,34261997,34262017,11,5248198,5248220,0,34262007
67,19,37539036,37539058,11,5248198,5248220,6.00E-05,37539047
68,19,50009993,50010015,11,5248198,5248220,5.60E-05,50010004
69,20,17385707,17385726,11,5248198,5248220,4.70E-05,17385716.5
70,20,39992922,39992944,11,5248198,5248220,0.000211,39992933
71,20,58136203,58136225,11,5248198,5248220,0.000441,58136214
72,22,17230606,17230628,11,5248198,5248220,0,17230617
73,22,26043752,26043774,11,5248198,5248220,0,26043763
74,22,35537389,35537411,11,5248198,5248220,0.00028,35537400
75,23,75006240,75006262,11,5248198,5248220,0.035379,75006251
76,1,42740046,42740068,6,43737291,43737313,0,42740057
77,1,48314362,48314384,6,43737291,43737313,0.00012,48314373
78,1,99347645,99347667,6,43737291,43737313,0.069164,99347656
79,1,102122645,102122667,6,43737291,43737313,0.001965,102122656
80,1,233157337,233157359,6,43737291,43737313,0,233157348
81,2,66561081,66561103,6,43737291,43737313,0,66561092
82,2,118827647,118827669,6,43737291,43737313,0.000117,118827658
83,2,157256487,157256509,6,43737291,43737313,0.005239,157256498
84,2,205137455,205137477,6,43737291,43737313,6.20E-05,205137466
85,2,209437583,209437605,6,43737291,43737313,0,209437594
86,3,8753086,8753108,6,43737291,43737313,0,8753097
87,3,38316665,38316687,6,43737291,43737313,0.000285,38316676
88,3,55562923,55562945,6,43737291,43737313,0,55562934
89,3,97310649,97310671,6,43737291,43737313,4.40E-05,97310660
90,3,128284315,128284337,6,43737291,43737313,0.000107,128284326
91,4,8453786,8453808,6,43737291,43737313,4.60E-05,8453797
92,4,21369307,21369329,6,43737291,43737313,0,21369318
93,4,23116001,23116023,6,43737291,43737313,9.50E-05,23116012
94,4,54967131,54967153,6,43737291,43737313,0.000152,54967142
95,4,65046682,65046704,6,43737291,43737313,4.40E-05,65046693
96,4,31185482,31185504,6,43737291,43737313,4.50E-05,31185493
97,4,157417945,157417967,6,43737291,43737313,7.00E-05,157417956
98,4,190326141,190326163,6,43737291,43737313,0,190326152
99,5,156373,156395,6,43737291,43737313,0.00018,156384
100,5,7067142,7067164,6,43737291,43737313,4.50E-05,7067153
101,5,32945258,32945280,6,43737291,43737313,0.013815,32945269
102,5,56172073,56172095,6,43737291,43737313,0.000251,56172084
103,5,57030866,57030886,6,43737291,43737313,0,57030876
104,5,139263007,139263029,6,43737291,43737313,0.000142,139263018
105,5,145624660,145624682,6,43737291,43737313,8.70E-05,145624671
106,5,146236253,146236275,6,43737291,43737313,0.000289,146236264
107,6,42229593,42229615,6,43737291,43737313,0.000134,42229604
108,6,43737291,43737313,6,43737291,43737313,0.873003,43737302
109,6,50485665,50485687,6,43737291,43737313,0.000173,50485676
110,6,91365249,91365271,6,43737291,43737313,0.000867,91365260
111,6,97861681,97861703,6,43737291,43737313,0,97861692
112,6,115347685,115347707,6,43737291,43737313,0,115347696
113,7,17819080,17819102,6,43737291,43737313,0,17819091
114,7,31001907,31001929,6,43737291,43737313,0,31001918
115,7,32333718,32333740,6,43737291,43737313,0,32333729
116,7,73254119,73254141,6,43737291,43737313,0,73254130
117,8,74709094,74709113,6,43737291,43737313,0,74709103.5
118,8,128303245,128303267,6,43737291,43737313,0.001525,128303256
119,9,9028807,9028829,6,43737291,43737313,0.001105,9028818
120,9,91304351,91304373,6,43737291,43737313,0,91304362
121,9,93925184,93925206,6,43737291,43737313,0,93925195
122,9,122768846,122768866,6,43737291,43737313,0.000978,122768856
123,9,123154225,123154247,6,43737291,43737313,0.000179,123154236
124,10,25067922,25067944,6,43737291,43737313,0.000301,25067933
125,10,81363262,81363284,6,43737291,43737313,0.001997,81363273
126,10,99376522,99376544,6,43737291,43737313,0.000959,99376533
127,10,132171396,132171418,6,43737291,43737313,0.001296,132171407
128,11,17395390,17395412,6,43737291,43737313,5.40E-05,17395401
129,11,57835226,57835248,6,43737291,43737313,0.000161,57835237
130,11,72475892,72475914,6,43737291,43737313,0,72475903
131,11,117481202,117481224,6,43737291,43737313,5.30E-05,117481213
132,11,126678271,126678293,6,43737291,43737313,0.000157,126678282
133,12,1988060,1988082,6,43737291,43737313,0.004045,1988071
134,12,5619389,5619411,6,43737291,43737313,0,5619400
135,12,26641285,26641307,6,43737291,43737313,0.001541,26641296
136,12,51887994,51888016,6,43737291,43737313,4.70E-05,51888005
137,12,107832619,107832641,6,43737291,43737313,0.000345,107832630
138,12,131690182,131690204,6,43737291,43737313,0.013124,131690193
139,13,31250996,31251018,6,43737291,43737313,5.40E-05,31251007
140,14,30157632,30157654,6,43737291,43737313,0,30157643
141,14,61906416,61906434,6,43737291,43737313,0,61906425
142,15,65637531,65637553,6,43737291,43737313,0.793822,65637542
143,15,67385000,67385022,6,43737291,43737313,0.001192,67385011
144,15,78857348,78857370,6,43737291,43737313,0.000107,78857359
145,15,84047368,84047390,6,43737291,43737313,0,84047379
146,15,86453639,86453661,6,43737291,43737313,0,86453650
147,16,8763207,8763229,6,43737291,43737313,0,8763218
148,17,3830410,3830432,6,43737291,43737313,0.000202,3830421
149,17,21251088,21251110,6,43737291,43737313,0,21251099
150,17,32986319,32986341,6,43737291,43737313,5.40E-05,32986330
151,17,39796322,39796344,6,43737291,43737313,0.076716,39796333
152,17,66834226,66834248,6,43737291,43737313,0.00015,66834237
153,17,80625570,80625592,6,43737291,43737313,0.00015,80625581
154,18,366708,366730,6,43737291,43737313,0,366719
155,19,1177833,1177855,6,43737291,43737313,0.001062,1177844
156,19,8150188,8150210,6,43737291,43737313,0,8150199
157,20,60265693,60265715,6,43737291,43737313,8.70E-05,60265704
158,22,18454606,18454628,6,43737291,43737313,8.30E-05,18454617
159,22,37215259,37215281,6,43737291,43737313,0.039551,37215270
160,23,19185595,19185617,6,43737291,43737313,0.000135,19185606
161,23,128497215,128497237,6,43737291,43737313,0,128497226
162,3,46414423,46414445,3,46414423,46414445,0.602074,46414434
163,21,39019464,39019486,3,46414423,46414445,9.00E-06,39019475
164,7,146318938,146318960,3,46414423,46414445,6.00E-06,146318949
165,5,50294225,50294247,3,46414423,46414445,9.00E-06,50294236
166,10,95196888,95196910,3,46414423,46414445,5.50E-05,95196899
167,15,81732424,81732446,3,46414423,46414445,0.000113,81732435
168,1,32462762,32462784,3,46414423,46414445,1.70E-05,32462773
169,20,57734127,57734149,3,46414423,46414445,5.60E-05,57734138
170,12,86351687,86351709,3,46414423,46414445,0.000191,86351698
171,5,22659532,22659554,3,46414423,46414445,0.000125,22659543
172,13,82752019,82752041,3,46414423,46414445,0.000138,82752030
173,13,32810788,32810810,3,46414423,46414445,3.30E-05,32810799
174,4,28318014,28318036,3,46414423,46414445,2.80E-05,28318025
175,3,113164145,113164167,3,46414423,46414445,8.50E-05,113164156
176,3,46415040,46415062,3,46415040,46415062,0.321896,46415051
177,3,46399689,46399711,3,46415040,46415062,0.000419,46399700
178,3,68283619,68283641,3,46415040,46415062,5.20E-05,68283630
179,4,174165064,174165086,3,46415040,46415062,0.00014,174165075
180,1,175514052,175514074,3,46415040,46415062,3.20E-05,175514063
181,1,188362837,188362859,3,46415040,46415062,4.60E-05,188362848
182,3,156643271,156643293,3,46415040,46415062,5.20E-05,156643282
183,3,196898095,196898117,3,46415040,46415062,0,196898106
184,4,24766904,24766926,3,46415040,46415062,7.90E-05,24766915
185,11,48583045,48583067,3,46415040,46415062,0.000146,48583056
186,11,126100129,126100151,3,46415040,46415062,8.10E-05,126100140
187,20,31876173,31876195,3,46415040,46415062,0,31876184
188,5,142061947,142061969,3,46415040,46415062,6.70E-05,142061958
189,6,51880792,51880814,3,46415040,46415062,0.000129,51880803
190,3,46415044,46415066,3,46415044,46415066,0.346024,46415055
191,3,46399693,46399715,3,46415044,46415066,0.000802,46399704
192,4,77089251,77089273,3,46415044,46415066,0.00015,77089262
193,6,76069904,76069926,3,46415044,46415066,0.000399,76069915
194,7,100221100,100221122,3,46415044,46415066,0.001008,100221111
195,8,133806494,133806516,3,46415044,46415066,0.003252,133806505
196,9,26728806,26728828,3,46415044,46415066,0.000537,26728817
197,11,109269651,109269673,3,46415044,46415066,0.001111,109269662
198,12,103345127,103345149,3,46415044,46415066,0,103345138
199,14,76188506,76188528,3,46415044,46415066,0.000549,76188517
200,3,46415002,46415024,3,46415002,46415024,0.086819,46415013
201,3,46399651,46399673,3,46415002,46415024,3.50E-05,46399662
202,4,37997514,37997536,3,46415002,46415024,0.000116,37997525
203,6,34194503,34194525,3,46415002,46415024,0.000139,34194514
204,4,135248226,135248248,3,46415002,46415024,0.000323,135248237
205,7,2187498,2187520,3,46415002,46415024,6.70E-05,2187509
206,7,40749500,40749522,3,46415002,46415024,0,40749511
207,7,116481826,116481848,3,46415002,46415024,7.40E-05,116481837
208,10,125109634,125109656,3,46415002,46415024,0,125109645
209,12,58088076,58088098,3,46415002,46415024,0,58088087
210,13,62359866,62359888,3,46415002,46415024,0,62359877
211,14,41044534,41044556,3,46415002,46415024,0,41044545
212,15,83334933,83334955,3,46415002,46415024,3.50E-05,83334944
213,15,86284396,86284418,3,46415002,46415024,0,86284407
214,3,46415068,46415090,3,46415068,46415090,0.53221,46415079
215,3,46399717,46399739,3,46415068,46415090,0.01818,46399728
216,1,82441502,82441524,3,46415068,46415090,3.30E-05,82441513
217,12,131177816,131177838,3,46415068,46415090,0.000186,131177827
218,14,58518942,58518964,3,46415068,46415090,3.40E-05,58518953
219,1,60161282,60161304,3,46415068,46415090,0,60161293
220,1,75107577,75107599,3,46415068,46415090,7.10E-05,75107588
221,10,79410853,79410875,3,46415068,46415090,0,79410864
222,10,93484023,93484045,3,46415068,46415090,0.0001,93484034
223,11,127759551,127759573,3,46415068,46415090,0.000146,127759562
224,13,91416320,91416342,3,46415068,46415090,0,91416331
225,14,35625928,35625950,3,46415068,46415090,9.50E-05,35625939
226,15,29656543,29656565,3,46415068,46415090,0,29656554
227,16,21069052,21069074,3,46415068,46415090,0,21069063
228,3,46414489,46414511,3,46414489,46414511,0.682348,46414500
229,3,46399150,46399172,3,46414489,46414511,0.016297,46399161
230,1,151346657,151346679,3,46414489,46414511,0,151346668
231,1,40149530,40149552,3,46414489,46414511,0,40149541
232,2,239016934,239016956,3,46414489,46414511,3.60E-05,239016945
233,10,72326315,72326337,3,46414489,46414511,0,72326326
234,11,45413263,45413285,3,46414489,46414511,0,45413274
235,11,75166399,75166421,3,46414489,46414511,0.000293,75166410
236,12,52993823,52993845,3,46414489,46414511,0,52993834
237,12,111877653,111877675,3,46414489,46414511,0,111877664
238,14,92900439,92900461,3,46414489,46414511,5.00E-05,92900450
239,15,86576167,86576189,3,46414489,46414511,0,86576178
240,3,46414496,46414518,3,46414496,46414518,0.439477,46414507
241,3,46399157,46399179,3,46414496,46414518,0.294407,46399168
242,3,132116628,132116650,3,46414496,46414518,6.10E-05,132116639
243,2,141099499,141099521,3,46414496,46414518,0,141099510
244,2,201563446,201563468,3,46414496,46414518,3.30E-05,201563457
245,10,128303265,128303287,3,46414496,46414518,0.000291,128303276
246,10,7087456,7087478,3,46414496,46414518,0,7087467
247,11,87003146,87003168,3,46414496,46414518,0.000347,87003157
248,12,26868591,26868613,3,46414496,46414518,0,26868602
249,12,56197552,56197574,3,46414496,46414518,0,56197563
250,13,40360296,40360318,3,46414496,46414518,0,40360307
251,15,83299509,83299531,3,46414496,46414518,0.000782,83299520
252,20,19397166,19397188,3,46414496,46414518,0,19397177
253,3,46414493,46414515,3,46414493,46414515,0.419214,46414504
254,3,46399154,46399176,3,46414493,46414515,0.427287,46399165
255,10,110654536,110654558,3,46414493,46414515,4.70E-05,110654547
256,3,13116655,13116677,3,46414493,46414515,0.000193,13116666
257,3,47757010,47757032,3,46414493,46414515,0,47757021
258,10,30904273,30904295,3,46414493,46414515,0,30904284
259,16,87942783,87942805,3,46414493,46414515,0.001056,87942794
260,3,46414489,46414511,3,46414489,46414511,0.197192,46414500
261,3,46399150,46399172,3,46414489,46414511,0.027367,46399161
262,14,92900439,92900461,3,46414489,46414511,8.30E-05,92900450
263,2,74899302,74899324,3,46414489,46414511,7.20E-05,74899313
264,3,38723711,38723733,3,46414489,46414511,0.00015,38723722
265,5,131892773,131892795,3,46414489,46414511,0,131892784
266,10,30904277,30904299,3,46414489,46414511,0,30904288
267,12,16763422,16763444,3,46414489,46414511,0,16763433
268,12,52993823,52993845,3,46414489,46414511,0,52993834
269,12,111877653,111877675,3,46414489,46414511,0,111877664
270,13,74232019,74232041,3,46414489,46414511,3.00E-05,74232030
271,22,38027104,38027126,3,46414489,46414511,0,38027115
272,1,131892774,131892796,1,131892774,131892796,0.746498,131892785
273,3,30904278,30904300,1,131892774,131892796,3.80E-05,30904289
274,9,16763423,16763445,1,131892774,131892796,0.000203,16763434
275,1,52993824,52993846,1,131892774,131892796,0.0014,52993835
276,9,111877654,111877676,1,131892774,131892796,0.000277,111877665
277,12,74232020,74232042,1,131892774,131892796,0.000159,74232031
278,2,73161171,73161193,2,73161171,73161193,0.19274,73161182
279,11,44986456,44986478,2,73161171,73161193,0.19001,44986467
280,22,46315635,46315657,2,73161171,73161193,0.06971,46315646
281,6,85481692,85481714,2,73161171,73161193,2.00E-05,85481703
282,22,25241437,25241459,2,73161171,73161193,0.00018,25241448
283,11,2549923,2549945,2,73161171,73161193,0.00042,2549934
284,9,94668410,94668432,2,73161171,73161193,2.00E-05,94668421
285,7,76173994,76174016,2,73161171,73161193,0.00024,76174005
286,6,31839729,31839751,2,73161171,73161193,0.00023,31839740
287,4,55480170,55480189,2,73161171,73161193,2.00E-05,55480179.5
288,17,76930341,76930363,2,73161171,73161193,3.00E-05,76930352
289,17,56013602,56013624,2,73161171,73161193,0.00026,56013613
290,1,22031858,22031877,2,73161171,73161193,2.00E-05,22031867.5
291,8,49731033,49731055,2,73161171,73161193,5.00E-05,49731044
292,2,73161174,73161196,2,73161174,73161196,0.11981,73161185
293,5,34026344,34026366,2,73161174,73161196,0.04919,34026355
294,16,73470906,73470928,2,73161174,73161196,0.00061,73470917
295,2,242607309,242607331,2,73161174,73161196,3.00E-05,242607320
296,9,135879884,135879906,2,73161174,73161196,0.0002,135879895
297,5,7761022,7761041,2,73161174,73161196,2.00E-05,7761031.5
298,5,172300612,172300631,2,73161174,73161196,0.0001,172300621.5
299,22,38069226,38069245,2,73161174,73161196,0.00014,38069235.5
300,20,37681257,37681276,2,73161174,73161196,0.00031,37681266.5
301,16,88818445,88818464,2,73161174,73161196,2.00E-05,88818454.5
302,10,120577041,120577063,2,73161174,73161196,0.00036,120577052
303,8,81806155,81806177,2,73161174,73161196,6.00E-05,81806166
304,7,4077902,4077924,2,73161174,73161196,0.00041,4077913
305,5,105649,105668,2,73161174,73161196,0.00024,105658.5
306,3,72204716,72204738,2,73161174,73161196,0.00037,72204727
307,2,101726188,101726210,2,73161174,73161196,0.00023,101726199
308,15,90605957,90605979,2,73161174,73161196,2.00E-05,90605968
309,19,6092605,6092627,2,73161174,73161196,0.00073,6092616
310,2,73161171,73161193,2,73161171,73161193,0.1927,73161182
311,11,44986456,44986478,2,73161171,73161193,0.1714,44986467
312,9,89337381,89337403,2,73161171,73161193,0.1156,89337392
313,9,93629455,93629474,2,73161171,73161193,0.0006,93629464.5
314,2,73161171,73161190,2,73161171,73161193,0.001,73161180.5
315,6,163688014,163688034,2,73161171,73161193,0.0001,163688024
316,13,24822292,24822312,2,73161171,73161193,0.0004,24822302
317,20,56140569,56140589,2,73161171,73161193,0.0008,56140579
318,17,71699477,71699499,2,73161171,73161193,0,71699488
319,17,72439432,72439454,2,73161171,73161193,0.0002,72439443
320,7,1127665,1127685,2,73161171,73161193,0.0003,1127675
321,9,139153803,139153825,2,73161171,73161193,0,139153814
322,2,73161174,73161193,2,73161174,73161193,0.1198,73161183.5
323,3,138080541,138080560,2,73161174,73161193,6.00E-05,138080550.5
324,7,94577241,94577260,2,73161174,73161193,0.00012,94577250.5
325,16,73470906,73470925,2,73161174,73161193,4.00E-05,73470915.5
326,4,24732442,24732461,2,73161174,73161193,5.00E-05,24732451.5
327,12,119612858,119612880,2,73161174,73161193,5.00E-05,119612869
328,22,38069226,38069245,2,73161174,73161193,6.00E-05,38069235.5
329,2,242607309,242607331,2,73161174,73161193,0.00098,242607320
330,1,16071127,16071147,2,73161174,73161193,6.00E-05,16071137
331,4,106136484,106136504,4,106136484,106136504,0.34411,106136494
332,5,140694365,140694384,4,106136484,106136504,2.00E-05,140694374.5
333,11,36504475,36504495,4,106136484,106136504,0.001,36504485
334,12,15837682,15837702,4,106136484,106136504,0.00012,15837692
335,12,105506932,105506954,4,106136484,106136504,2.00E-05,105506943
336,8,123568338,123568357,4,106136484,106136504,0.0001,123568347.5
337,8,121992671,121992693,4,106136484,106136504,0.00043,121992682
338,23,117041131,117041153,4,106136484,106136504,2.00E-05,117041142
339,5,124529375,124529397,4,106136484,106136504,0.00031,124529386
340,15,87699707,87699727,4,106136484,106136504,2.00E-05,87699717
341,7,80453170,80453192,4,106136484,106136504,9.00E-05,80453181
342,12,35696706,35696725,4,106136484,106136504,2.00E-05,35696715.5
343,8,119454023,119454043,4,106136484,106136504,0.00026,119454033
344,6,117751760,117751782,4,106136484,106136504,0.00037,117751771
345,15,101472915,101472934,4,106136484,106136504,0.00029,101472924.5
346,4,106126920,106126942,4,106126920,106126942,0.24413,106126931
347,8,127678900,127678920,4,106126920,106126942,0.00014,127678910
348,10,60671376,60671398,4,106126920,106126942,2.00E-05,60671387
349,17,46349439,46349458,4,106126920,106126942,9.00E-05,46349448.5
350,9,118884854,118884873,4,106126920,106126942,0.00017,118884863.5
351,15,73522943,73522962,4,106126920,106126942,2.00E-05,73522952.5
352,6,89281431,89281450,4,106126920,106126942,0.00043,89281440.5
353,11,8617479,8617500,4,106126920,106126942,2.00E-05,8617489.5
354,6,87176388,87176410,4,106126920,106126942,5.00E-05,87176399
355,13,51651025,51651047,4,106126920,106126942,0.00026,51651036
356,10,60668347,60668366,4,106126920,106126942,0.00031,60668356.5
357,1,138845169,138845188,4,106126920,106126942,7.00E-05,138845178.5
358,9,73816913,73816932,4,106126920,106126942,0.0002,73816922.5
359,2,142458395,142458417,4,106126920,106126942,0.00015,142458406
360,1,36627411,36627430,4,106126920,106126942,2.00E-05,36627420.5
361,23,123129024,123129046,4,106126920,106126942,0.00079,123129035
362,16,83768709,83768728,4,106126920,106126942,2.00E-05,83768718.5
363,14,60500835,60500857,4,106126920,106126942,0.00015,60500846
364,1,136195714,136195733,4,106126920,106126942,0.0003,136195723.5
365,15,65637530,65637553,6,43737290,43737313,0.292544,65637541.5
366,6,43737290,43737313,6,43737290,43737313,0.242657,43737301.5
367,17,39796321,39796344,6,43737290,43737313,0.174876,39796332.5
368,1,99347644,99347667,6,43737290,43737313,0.074017,99347655.5
369,12,131690181,131690204,6,43737290,43737313,0.053954,131690192.5
370,12,1988059,1988082,6,43737290,43737313,0.033891,1988070.5
371,17,47317532,47317555,6,43737290,43737313,0.029282,47317543.5
372,22,37215258,37215281,6,43737290,43737313,0.022503,37215269.5
373,5,32945257,32945280,6,43737290,43737313,0.022232,32945268.5
374,6,14316366,14316389,6,43737290,43737313,0.02178,14316377.5
375,5,7067141,7067164,6,43737290,43737313,0.010393,7067152.5
376,1,233157336,233157359,6,43737290,43737313,0.005242,233157347.5
377,5,56172072,56172095,6,43737290,43737313,0.004519,56172083.5
378,22,19698456,19698479,6,43737290,43737313,0.004248,19698467.5
379,4,8453785,8453808,6,43737290,43737313,0.002169,8453796.5
380,3,128284314,128284337,6,43737290,43737313,0.001446,128284325.5
381,11,117481201,117481224,6,43737290,43737313,0.001265,117481212.5
382,3,195871257,195871280,6,43737290,43737313,0.000994,195871268.5
383,11,67574244,67574267,6,43737290,43737313,0.000633,67574255.5
384,13,26202794,26202817,6,43737290,43737313,0.000542,26202805.5
385,16,8763206,8763229,6,43737290,43737313,0.000452,8763217.5
386,3,125633985,125634008,6,43737290,43737313,0.000362,125633996.5
387,5,6715101,6715124,6,43738555,43738578,0.077477,6715112.5
388,2,242214589,242214612,6,43738555,43738578,0.062344,242214600.5
389,9,103599642,103599665,6,43738555,43738578,0.047412,103599653.5
390,16,56963422,56963445,6,43738555,43738578,0.044554,56963433.5
391,4,38537610,38537633,6,43738555,43738578,0.042421,38537621.5
392,11,71948787,71948810,6,43738555,43738578,0.036988,71948798.5
393,17,4358745,4358768,6,43738555,43738578,0.032319,4358756.5
394,17,40044750,40044773,6,43738555,43738578,0.031836,40044761.5
395,9,27338857,27338880,6,43738555,43738578,0.03087,27338868.5
396,8,144822944,144822967,6,43738555,43738578,0.0293,144822955.5
397,10,116294249,116294272,6,43738555,43738578,0.028335,116294260.5
398,22,50884785,50884808,6,43738555,43738578,0.028335,50884796.5
399,11,76495782,76495805,6,43738555,43738578,0.025235,76495793.5
400,1,151031868,151031891,6,43738555,43738578,0.025155,151031879.5
401,8,145008398,145008421,6,43738555,43738578,0.02427,145008409.5
402,6,43738555,43738578,6,43738555,43738578,0.021734,43738566.5
403,11,31817476,31817499,6,43738555,43738578,0.01944,31817487.5
404,10,135149930,135149953,6,43738555,43738578,0.017951,135149941.5
405,2,12744758,12744781,6,43738555,43738578,0.016663,12744769.5
406,15,33286100,33286123,6,43738555,43738578,0.015737,33286111.5
407,13,26626225,26626248,6,43738555,43738578,0.01469,26626236.5
408,11,63391083,63391106,6,43738555,43738578,0.01457,63391094.5
409,18,21359552,21359575,6,43738555,43738578,0.014369,21359563.5
410,11,46141848,46141871,6,43738555,43738578,0.013523,46141859.5
411,23,149932511,149932534,6,43738555,43738578,0.013282,149932522.5
412,13,100546982,100547005,6,43738555,43738578,0.012195,100546993.5
413,19,13122171,13122194,6,43738555,43738578,0.011712,13122182.5
414,16,82734564,82734587,6,43738555,43738578,0.011189,82734575.5
415,23,129040623,129040646,6,43738555,43738578,0.010585,129040634.5
416,3,31458651,31458674,6,43738555,43738578,0.010303,31458662.5
417,11,374660,374683,6,43738555,43738578,0.010142,374671.5
418,11,13948353,13948376,6,43738555,43738578,0.009901,13948364.5
419,4,8841910,8841933,6,43738555,43738578,0.009458,8841921.5
420,9,139440840,139440863,6,43738555,43738578,0.00813,139440851.5
421,19,14142968,14142991,6,43738555,43738578,0.007728,14142979.5
422,7,95319670,95319693,6,43738555,43738578,0.007204,95319681.5
423,8,18041539,18041562,6,43738555,43738578,0.00644,18041550.5
424,17,16954845,16954868,6,43738555,43738578,0.005675,16954856.5
425,20,10913954,10913977,6,43738555,43738578,0.005554,10913965.5
426,1,875320,875343,6,43738555,43738578,0.005433,875331.5
427,7,104933938,104933961,6,43738555,43738578,0.005433,104933949.5
428,9,126138174,126138197,6,43738555,43738578,0.005152,126138185.5
429,10,133956638,133956661,6,43738555,43738578,0.005071,133956649.5
430,12,26025088,26025111,6,43738555,43738578,0.00495,26025099.5
431,5,14457486,14457509,6,43738555,43738578,0.00491,14457497.5
432,11,12308917,12308940,6,43738555,43738578,0.00487,12308928.5
433,3,140398783,140398806,6,43738555,43738578,0.004468,140398794.5
434,2,129244195,129244218,6,43738555,43738578,0.004347,129244206.5
435,2,170573333,170573356,6,43738555,43738578,0.003944,170573344.5
436,2,11699947,11699970,6,43738555,43738578,0.003824,11699958.5
437,4,1496240,1496263,6,43738555,43738578,0.003703,1496251.5
438,2,24857576,24857599,6,43738555,43738578,0.003502,24857587.5
439,4,7329529,7329552,6,43738555,43738578,0.003502,7329540.5
440,10,72538200,72538223,6,43738555,43738578,0.003019,72538211.5
441,22,45134887,45134910,6,43738555,43738578,0.003019,45134898.5
442,19,45952037,45952060,6,43738555,43738578,0.002978,45952048.5
443,5,170878052,170878075,6,43738555,43738578,0.002858,170878063.5
444,5,139028239,139028262,6,43738555,43738578,0.002616,139028250.5
